"    5.41749E+02","0"," "," "," "," ","        469","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.45166E+02","0"," "," "," "," ","        200","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.49926E+02","0"," "," "," "," ","        447","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.50999E+02","0"," "," "," "," ","        288","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.53926E+02","0"," "," "," "," ","        729","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.54818E+02","0"," "," "," "," ","        288","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.57119E+02","0"," "," "," "," ","        271","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.57254E+02","0"," "," "," "," ","        214","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.57620E+02","0"," "," "," "," ","        129","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.57936E+02","0"," "," "," "," ","        268","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.58703E+02","0"," "," "," "," ","       1016","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.59506E+02","0"," "," "," "," ","        264","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.60160E+02","0"," "," "," "," ","        168","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.60673E+02","0"," "," "," "," ","        835","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.61207E+02","0"," "," "," "," ","        129","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.61532E+02","0"," "," "," "," ","        362","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.63030E+02","0"," "," "," "," ","         37","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.63330E+02","0"," "," "," "," ","         46","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.65070E+02","0"," "," "," "," ","        418","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.65793E+02","0"," "," "," "," ","        117","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.66304E+02","0"," "," "," "," ","         16","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.66518E+02","0"," "," "," "," ","        243","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.66713E+02","0"," "," "," "," ","         67","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.67298E+02","0"," "," "," "," ","         14","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.67384E+02","0"," "," "," "," ","         21","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.67901E+02","0"," "," "," "," ","         18","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
